tile_id,class_l1_l3,class_l4,collision_l1_l3,collision_l4,passable_table,destructible,special,notes
$230,solid,solid,solid,solid,no,no,no,
$231,solid,solid,solid,solid,no,no,no,
$232,destructible,destructible,solid,solid,no,yes,no,
$233,destructible,destructible,solid,solid,no,yes,no,
$234,destructible,destructible,solid,solid,no,yes,no,
$235,destructible,destructible,solid,solid,no,yes,no,
$236,destructible,destructible,solid,solid,no,yes,no,
$237,destructible,destructible,solid,solid,no,yes,no,
$238,solid,solid,solid,solid,no,no,no,
$239,solid,solid,solid,solid,no,no,no,
$23A,solid,solid,solid,solid,no,no,no,
$23B,solid,solid,solid,solid,no,no,no,
$23C,solid,solid,solid,solid,no,no,no,
$23D,solid,solid,solid,solid,no,no,no,
$23E,solid,solid,solid,solid,no,no,no,
$23F,solid,solid,solid,solid,no,no,no,
$240,solid,solid,solid,solid,no,no,no,
$241,solid,solid,solid,solid,no,no,no,
$242,destructible,destructible,solid,solid,no,yes,no,
$243,destructible,destructible,solid,solid,no,yes,no,
$244,destructible,destructible,solid,solid,no,yes,no,
$245,destructible,destructible,solid,solid,no,yes,no,
$246,solid,solid,solid,solid,no,no,no,
$247,solid,solid,solid,solid,no,no,no,
$248,solid,solid,solid,solid,no,no,no,
$249,solid,solid,solid,solid,no,no,no,
$24A,solid,solid,solid,solid,no,no,no,
$24B,solid,solid,solid,solid,no,no,no,
$24C,solid,solid,solid,solid,no,no,no,
$24D,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$24E,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$24F,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$250,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$251,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$252,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$253,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$254,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$255,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$256,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$257,special,hazard,passable,lethal / blocking in Level 4,yes,no,yes,"Animated energy field; passable in Levels 1-3, lethal in Level 4."
$258,special,hazard,passable,lethal / blocking in Level 4,yes,no,yes,"Animated energy field; passable in Levels 1-3, lethal in Level 4."
$259,special,hazard,passable,lethal / blocking in Level 4,yes,no,yes,"Animated energy field; passable in Levels 1-3, lethal in Level 4."
$25A,special,hazard,passable,lethal / blocking in Level 4,yes,no,yes,"Animated energy field; passable in Levels 1-3, lethal in Level 4."
$25B,special,hazard,passable,lethal / blocking in Level 4,yes,no,yes,"Animated energy field; passable in Levels 1-3, lethal in Level 4."
$25C,special,hazard,passable,lethal / blocking in Level 4,yes,no,yes,"Animated energy field; passable in Levels 1-3, lethal in Level 4."
$25D,special,hazard,passable,lethal / blocking in Level 4,yes,no,yes,"Animated energy field; passable in Levels 1-3, lethal in Level 4."
$25E,special,hazard,passable,lethal / blocking in Level 4,yes,no,yes,"Animated energy field; passable in Levels 1-3, lethal in Level 4."
$25F,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$260,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$261,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$262,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$263,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$264,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$265,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$266,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$267,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$268,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$269,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$26A,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$26B,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$26C,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$26D,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$26E,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$26F,solid,solid,solid,solid,no,no,no,
$270,solid,solid,solid,solid,no,no,no,
$271,solid,solid,solid,solid,no,no,no,
$272,solid,solid,solid,solid,no,no,no,
$273,solid,solid,solid,solid,no,no,no,
$274,solid,solid,solid,solid,no,no,no,
$275,solid,solid,solid,solid,no,no,no,
$276,solid,solid,solid,solid,no,no,no,
$277,solid,solid,solid,solid,no,no,no,
$278,solid,solid,solid,solid,no,no,no,
$279,solid,solid,solid,solid,no,no,no,
$27A,solid,solid,solid,solid,no,no,no,
$27B,solid,solid,solid,solid,no,no,no,
$27C,solid,solid,solid,solid,no,no,no,
$27D,solid,solid,solid,solid,no,no,no,
$27E,solid,solid,solid,solid,no,no,no,
$27F,solid,solid,solid,solid,no,no,no,
$280,solid,solid,solid,solid,no,no,no,
$281,solid,solid,solid,solid,no,no,no,
$282,solid,solid,solid,solid,no,no,no,
$283,solid,solid,solid,solid,no,no,no,
$284,solid,solid,solid,solid,no,no,no,
$285,solid,solid,solid,solid,no,no,no,
$286,solid,solid,solid,solid,no,no,no,
$287,solid,solid,solid,solid,no,no,no,
$288,solid,solid,solid,solid,no,no,no,
$289,solid,solid,solid,solid,no,no,no,
$28A,solid,solid,solid,solid,no,no,no,
$28B,solid,solid,solid,solid,no,no,no,
$28C,solid,solid,solid,solid,no,no,no,
$28D,solid,solid,solid,solid,no,no,no,
$28E,solid,solid,solid,solid,no,no,no,
$28F,solid,solid,solid,solid,no,no,no,
$290,solid,solid,solid,solid,no,no,no,
$291,solid,solid,solid,solid,no,no,no,
$292,solid,solid,solid,solid,no,no,no,
$293,solid,solid,solid,solid,no,no,no,
$294,solid,solid,solid,solid,no,no,no,
$295,solid,solid,solid,solid,no,no,no,
$296,solid,solid,solid,solid,no,no,no,
$297,solid,solid,solid,solid,no,no,no,
$298,solid,solid,solid,solid,no,no,no,
$299,solid,solid,solid,solid,no,no,no,
$29A,solid,solid,solid,solid,no,no,no,
$29B,solid,solid,solid,solid,no,no,no,
$29C,solid,solid,solid,solid,no,no,no,
$29D,solid,solid,solid,solid,no,no,no,
$29E,solid,solid,solid,solid,no,no,no,
$29F,solid,solid,solid,solid,no,no,no,
$2A0,solid,solid,solid,solid,no,no,no,
$2A1,solid,solid,solid,solid,no,no,no,
$2A2,solid,solid,solid,solid,no,no,no,
$2A3,solid,solid,solid,solid,no,no,no,
$2A4,solid,solid,solid,solid,no,no,no,
$2A5,solid,solid,solid,solid,no,no,no,
$2A6,solid,solid,solid,solid,no,no,no,
$2A7,solid,solid,solid,solid,no,no,no,
$2A8,solid,solid,solid,solid,no,no,no,
$2A9,solid,solid,solid,solid,no,no,no,
$2AA,solid,solid,solid,solid,no,no,no,
$2AB,solid,solid,solid,solid,no,no,no,
$2AC,solid,solid,solid,solid,no,no,no,
$2AD,solid,solid,solid,solid,no,no,no,
$2AE,solid,solid,solid,solid,no,no,no,
$2AF,solid,solid,solid,solid,no,no,no,
$2B0,solid,solid,solid,solid,no,no,no,
$2B1,solid,solid,solid,solid,no,no,no,
$2B2,solid,solid,solid,solid,no,no,no,
$2B3,solid,solid,solid,solid,no,no,no,
$2B4,solid,solid,solid,solid,no,no,no,
$2B5,solid,solid,solid,solid,no,no,no,
$2B6,solid,solid,solid,solid,no,no,no,
$2B7,solid,solid,solid,solid,no,no,no,
$2B8,solid,solid,solid,solid,no,no,no,
$2B9,solid,solid,solid,solid,no,no,no,
$2BA,solid,solid,solid,solid,no,no,no,
$2BB,solid,solid,solid,solid,no,no,no,
$2BC,solid,solid,solid,solid,no,no,no,
$2BD,solid,solid,solid,solid,no,no,no,
$2BE,solid,solid,solid,solid,no,no,no,
$2BF,solid,solid,solid,solid,no,no,no,
$2C0,solid,solid,solid,solid,no,no,no,
$2C1,solid,solid,solid,solid,no,no,no,
$2C2,solid,solid,solid,solid,no,no,no,
$2C3,solid,solid,solid,solid,no,no,no,
$2C4,solid,solid,solid,solid,no,no,no,
$2C5,solid,solid,solid,solid,no,no,no,
$2C6,solid,solid,solid,solid,no,no,no,
$2C7,solid,solid,solid,solid,no,no,no,
$2C8,solid,solid,solid,solid,no,no,no,
$2C9,solid,solid,solid,solid,no,no,no,
$2CA,solid,solid,solid,solid,no,no,no,
$2CB,solid,solid,solid,solid,no,no,no,
$2CC,solid,solid,solid,solid,no,no,no,
$2CD,solid,solid,solid,solid,no,no,no,
$2CE,solid,solid,solid,solid,no,no,no,
$2CF,solid,solid,solid,solid,no,no,no,
$2D0,solid,solid,solid,solid,no,no,no,
$2D1,solid,solid,solid,solid,no,no,no,
$2D2,solid,solid,solid,solid,no,no,no,
$2D3,solid,solid,solid,solid,no,no,no,
$2D4,solid,solid,solid,solid,no,no,no,
$2D5,solid,solid,solid,solid,no,no,no,
$2D6,passable,passable,passable,passable,yes,no,no,
$2D7,passable,passable,passable,passable,yes,no,no,
$2D8,passable,passable,passable,passable,yes,no,no,
$2D9,passable,passable,passable,passable,yes,no,no,
$2DA,passable,passable,passable,passable,yes,no,no,
$2DB,passable,passable,passable,passable,yes,no,no,
$2DC,passable,passable,passable,passable,yes,no,no,
$2DD,passable,passable,passable,passable,yes,no,no,
$2DE,passable,passable,passable,passable,yes,no,no,
$2DF,passable,passable,passable,passable,yes,no,no,
$2E0,passable,passable,passable,passable,yes,no,no,
$2E1,passable,passable,passable,passable,yes,no,no,
$2E2,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$2E3,solid,solid,solid,solid,no,no,no,
$2E4,solid,solid,solid,solid,no,no,no,
$2E5,solid,solid,solid,solid,no,no,no,
$2E6,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$2E7,solid,solid,solid,solid,no,no,no,
$2E8,solid,solid,solid,solid,no,no,no,
$2E9,solid,solid,solid,solid,no,no,no,
$2EA,solid,solid,solid,solid,no,no,no,
$2EB,solid,solid,solid,solid,no,no,no,
$2EC,solid,solid,solid,solid,no,no,no,
$2ED,solid,solid,solid,solid,no,no,no,
$2EE,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$2EF,solid,solid,solid,solid,no,no,no,
$2F0,solid,solid,solid,solid,no,no,no,
$2F1,solid,solid,solid,solid,no,no,no,
$2F2,solid,solid,solid,solid,no,no,no,
$2F3,solid,solid,solid,solid,no,no,no,
$2F4,solid,solid,solid,solid,no,no,no,
$2F5,solid,solid,solid,solid,no,no,no,
$2F6,solid,solid,solid,solid,no,no,no,
$2F7,solid,solid,solid,solid,no,no,no,
$2F8,solid,solid,solid,solid,no,no,no,
$2F9,solid,solid,solid,solid,no,no,no,
$2FA,solid,solid,solid,solid,no,no,no,
$2FB,solid,solid,solid,solid,no,no,no,
$2FC,solid,solid,solid,solid,no,no,no,
$2FD,solid,solid,solid,solid,no,no,no,
$2FE,solid,solid,solid,solid,no,no,no,
$2FF,solid,solid,solid,solid,no,no,no,
$300,destructible,destructible,special / runtime-controlled,special / runtime-controlled,no,yes,yes,Special/control value; the room loader performs extra runtime handling.
$301,solid,solid,solid,solid,no,no,no,
$302,solid,solid,solid,solid,no,no,no,
$303,solid,solid,solid,solid,no,no,no,
$304,solid,solid,solid,solid,no,no,no,
$305,solid,solid,solid,solid,no,no,no,
$306,solid,solid,solid,solid,no,no,no,
$307,solid,solid,solid,solid,no,no,no,
$308,solid,solid,solid,solid,no,no,no,
$309,solid,solid,solid,solid,no,no,no,
$30A,solid,solid,solid,solid,no,no,no,
$30B,solid,solid,solid,solid,no,no,no,
$30C,destructible,destructible,special / runtime-controlled,special / runtime-controlled,no,yes,yes,Special/control value; the room loader performs extra runtime handling.
$30D,destructible,destructible,passable,passable,yes,yes,no,
$30E,destructible,destructible,passable,passable,yes,yes,no,
$30F,destructible,destructible,passable,passable,yes,yes,no,
$310,solid,solid,solid,solid,no,no,no,
$311,solid,solid,solid,solid,no,no,no,
$312,solid,solid,solid,solid,no,no,no,
$313,solid,solid,solid,solid,no,no,no,
$314,solid,solid,solid,solid,no,no,no,
$315,solid,solid,solid,solid,no,no,no,
$316,solid,solid,solid,solid,no,no,no,
$317,solid,solid,solid,solid,no,no,no,
$318,solid,solid,solid,solid,no,no,no,
$319,solid,solid,solid,solid,no,no,no,
$31A,solid,solid,solid,solid,no,no,no,
$31B,solid,solid,solid,solid,no,no,no,
$31C,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,two-cell source pair; runtime animates the pair
$31D,solid,solid,solid,solid,no,no,no,Required partner cell for the $31C fixed cannon.
$31E,solid,solid,solid,solid,no,no,no,
$31F,solid,solid,solid,solid,no,no,no,
$320,solid,solid,solid,solid,no,no,no,
$321,solid,solid,solid,solid,no,no,no,
$322,solid,solid,solid,solid,no,no,no,
$323,solid,solid,solid,solid,no,no,no,
$324,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$325,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,Special/control value; the room loader performs extra runtime handling.
$326,solid,solid,solid,solid,no,no,no,Left-most body cell of the $329 right-facing gun.
$327,solid,solid,solid,solid,no,no,no,Body cell of the $329 right-facing gun.
$328,solid,solid,solid,solid,no,no,no,Body cell immediately left of the $329 right-facing gun controller/tip.
$329,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,four-cell source strip; all $329 guns share fire timer $3FF2C
$32A,solid,solid,solid,solid,no,no,no,
$32B,solid,solid,solid,solid,no,no,no,
$32C,solid,solid,solid,solid,no,no,no,
$32D,solid,solid,solid,solid,no,no,no,
$32E,solid,solid,solid,solid,no,no,no,
$32F,solid,solid,solid,solid,no,no,no,
$330,solid,solid,solid,solid,no,no,no,
$331,solid,solid,solid,solid,no,no,no,
$332,solid,solid,solid,solid,no,no,no,
$333,solid,solid,solid,solid,no,no,no,
$334,solid,solid,solid,solid,no,no,no,
$335,solid,solid,solid,solid,no,no,no,
$336,solid,solid,solid,solid,no,no,no,
$337,solid,solid,solid,solid,no,no,no,
$338,solid,solid,solid,solid,no,no,no,
$339,solid,solid,solid,solid,no,no,no,
$33A,solid,solid,solid,solid,no,no,no,
$33B,solid,solid,solid,solid,no,no,no,
$33C,solid,solid,solid,solid,no,no,no,
$33D,solid,solid,solid,solid,no,no,no,
$33E,solid,solid,solid,solid,no,no,no,
$33F,solid,solid,solid,solid,no,no,no,
$340,solid,solid,solid,solid,no,no,no,
$341,solid,solid,solid,solid,no,no,no,
$342,solid,solid,solid,solid,no,no,no,
$343,solid,solid,solid,solid,no,no,no,
$344,solid,solid,solid,solid,no,no,no,
$345,solid,solid,solid,solid,no,no,no,
$346,special,special,special / runtime-controlled,special / runtime-controlled,no,no,yes,four-cell source strip; one original instance uses $359 end-cap; all $346 guns share fire timer $3FF2A
$347,solid,solid,solid,solid,no,no,no,Body cell immediately right of the $346 left-facing gun controller/tip.
$348,solid,solid,solid,solid,no,no,no,Body cell of the $346 left-facing gun.
$349,solid,solid,solid,solid,no,no,no,Normal right-most body/end cell of the $346 left-facing gun.
$34A,solid,solid,solid,solid,no,no,no,
$34B,solid,solid,solid,solid,no,no,no,
$34C,solid,solid,solid,solid,no,no,no,
$34D,solid,solid,solid,solid,no,no,no,
$34E,solid,solid,solid,solid,no,no,no,
$34F,solid,solid,solid,solid,no,no,no,
$350,solid,solid,solid,solid,no,no,no,
$351,solid,solid,solid,solid,no,no,no,
$352,solid,solid,solid,solid,no,no,no,
$353,solid,solid,solid,solid,no,no,no,
$354,solid,solid,solid,solid,no,no,no,
$355,solid,solid,solid,solid,no,no,no,
$356,solid,solid,solid,solid,no,no,no,
$357,solid,solid,solid,solid,no,no,no,
$358,solid,solid,solid,solid,no,no,no,
$359,solid,solid,solid,solid,no,no,no,Original alternate end-cap seen on one $346 gun placement.
$35A,solid,solid,solid,solid,no,no,no,
$35B,solid,solid,solid,solid,no,no,no,
$35C,solid,solid,solid,solid,no,no,no,
$35D,solid,solid,solid,solid,no,no,no,
$35E,solid,solid,solid,solid,no,no,no,
$35F,solid,solid,solid,solid,no,no,no,
$360,solid,solid,solid,solid,no,no,no,
$361,solid,solid,solid,solid,no,no,no,
$362,solid,solid,solid,solid,no,no,no,
$363,solid,solid,solid,solid,no,no,no,
$364,solid,solid,solid,solid,no,no,no,
$365,solid,solid,solid,solid,no,no,no,
$366,solid,solid,solid,solid,no,no,no,
$367,solid,solid,solid,solid,no,no,no,
$368,solid,solid,solid,solid,no,no,no,
$369,solid,solid,solid,solid,no,no,no,
$36A,solid,solid,solid,solid,no,no,no,
$36B,solid,solid,solid,solid,no,no,no,
$36C,solid,solid,solid,solid,no,no,no,
$36D,solid,solid,solid,solid,no,no,no,
$36E,solid,solid,solid,solid,no,no,no,
$36F,solid,solid,solid,solid,no,no,no,
$370,solid,solid,solid,solid,no,no,no,
$371,solid,solid,solid,solid,no,no,no,
$372,solid,solid,solid,solid,no,no,no,
$373,solid,solid,solid,solid,no,no,no,
$374,solid,solid,solid,solid,no,no,no,
$375,solid,solid,solid,solid,no,no,no,
$376,solid,solid,solid,solid,no,no,no,
$377,solid,solid,solid,solid,no,no,no,
$378,solid,solid,solid,solid,no,no,no,
$379,solid,solid,solid,solid,no,no,no,
$37A,solid,solid,solid,solid,no,no,no,
$37B,solid,solid,solid,solid,no,no,no,
$37C,solid,solid,solid,solid,no,no,no,
$37D,solid,solid,solid,solid,no,no,no,
$37E,solid,solid,solid,solid,no,no,no,
$37F,solid,solid,solid,solid,no,no,no,
$380,solid,solid,solid,solid,no,no,no,
$381,solid,solid,solid,solid,no,no,no,
$382,solid,solid,solid,solid,no,no,no,
$383,solid,solid,solid,solid,no,no,no,
$384,solid,solid,solid,solid,no,no,no,
$385,solid,solid,solid,solid,no,no,no,
$386,solid,solid,solid,solid,no,no,no,
$387,solid,solid,solid,solid,no,no,no,
$388,solid,solid,solid,solid,no,no,no,
$389,solid,solid,solid,solid,no,no,no,
$38A,solid,solid,solid,solid,no,no,no,
$38B,solid,solid,solid,solid,no,no,no,
$38C,solid,solid,solid,solid,no,no,no,
$38D,solid,solid,solid,solid,no,no,no,
$38E,solid,solid,solid,solid,no,no,no,
$38F,solid,solid,solid,solid,no,no,no,
$390,solid,solid,solid,solid,no,no,no,
$391,solid,solid,solid,solid,no,no,no,
$392,solid,solid,solid,solid,no,no,no,
$393,solid,solid,solid,solid,no,no,no,
$394,solid,solid,solid,solid,no,no,no,
$395,solid,solid,solid,solid,no,no,no,
$396,solid,solid,solid,solid,no,no,no,
$397,solid,solid,solid,solid,no,no,no,
$398,solid,solid,solid,solid,no,no,no,
$399,solid,solid,solid,solid,no,no,no,
$39A,solid,solid,solid,solid,no,no,no,
$39B,solid,solid,solid,solid,no,no,no,
$39C,solid,solid,solid,solid,no,no,no,
$39D,solid,solid,solid,solid,no,no,no,
$39E,solid,solid,solid,solid,no,no,no,
$39F,solid,solid,solid,solid,no,no,no,
$3A0,solid,solid,solid,solid,no,no,no,
$3A1,solid,solid,solid,solid,no,no,no,
$3A2,solid,solid,solid,solid,no,no,no,
$3A3,solid,solid,solid,solid,no,no,no,
$3A4,solid,solid,solid,solid,no,no,no,
$3A5,solid,solid,solid,solid,no,no,no,
$3A6,solid,solid,solid,solid,no,no,no,
$3A7,solid,solid,solid,solid,no,no,no,
$3A8,solid,solid,solid,solid,no,no,no,
$3A9,solid,solid,solid,solid,no,no,no,
$3AA,solid,solid,solid,solid,no,no,no,
$3AB,solid,solid,solid,solid,no,no,no,
$3AC,solid,solid,solid,solid,no,no,no,
$3AD,solid,solid,solid,solid,no,no,no,
$3AE,solid,solid,solid,solid,no,no,no,
$3AF,solid,solid,solid,solid,no,no,no,
$3B0,solid,solid,solid,solid,no,no,no,
$3B1,solid,solid,solid,solid,no,no,no,
$3B2,solid,solid,solid,solid,no,no,no,
$3B3,solid,solid,solid,solid,no,no,no,
$3B4,solid,solid,solid,solid,no,no,no,
$3B5,solid,solid,solid,solid,no,no,no,
$3B6,solid,solid,solid,solid,no,no,no,
$3B7,solid,solid,solid,solid,no,no,no,
$3B8,solid,solid,solid,solid,no,no,no,
$3B9,solid,solid,solid,solid,no,no,no,
$3BA,solid,solid,solid,solid,no,no,no,
$3BB,solid,solid,solid,solid,no,no,no,
$3BC,solid,solid,solid,solid,no,no,no,
$3BD,solid,solid,solid,solid,no,no,no,
$3BE,solid,solid,solid,solid,no,no,no,
$3BF,solid,solid,solid,solid,no,no,no,
$3C0,solid,solid,solid,solid,no,no,no,
