level,logical_room,physical_background,map_source_runtime,edge_spawn_markers,level4_bonus_spawn_pits,edge_crawler_bug_markers,paired_moving_enemy_markers,cannon_or_projectile_emitters,collectable_control_markers,destructible_tile_cells,level_end_landing_pad
4,41,41,$04C598,,,"$1FD@2,1;$1FE@2,8;$1FE@3,8;$1FE@4,8",,,"$1F3@7,7;$1F3@1,10","$06B@1,5;$069@2,5;$06B@1,6;$06B@2,6;$06B@3,6;$069@4,6;$069@5,6;$06B@1,7;$069@5,7;$06B@6,7;$232@14,7;$233@15,7;$069@1,8;$069@5,8;$06B@6,8;$069@7,8;$06B@8,8;$069@9,8;$234@14,8;$235@15,8;$06B@1,9;$069@2,9;$06B@3,9;$069@4,9;$06B@5,9;$06B@6,9;$06B@7,9;$069@8,9;$06B@9,9;$069@10,9;$236@14,9;$237@15,9;$06B@2,10",
4,42,42,$04C5C0,,,,,,"$1F3@12,9;$1FA@13,9",,
4,43,43,$04C5E8,"$1E2@6,10;$1E3@12,10",,,,"$30C@7,4",,"$116@6,3;$117@7,3;$118@8,3;$119@9,3;$11A@6,4;$30C@7,4;$30D@8,4;$11D@9,4;$11E@6,5;$30E@7,5;$30F@8,5;$232@14,5;$233@15,5;$234@14,6;$235@15,6;$236@14,7;$237@15,7",
4,44,44,$04C610,,,"$1FE@8,1;$1FE@9,1;$1FE@10,1;$1FF@11,3;$1FF@4,8",,,,,
4,45,45,$04C638,,,"$1FE@12,1;$1FE@11,2;$1FE@10,3;$1FE@9,4;$1FE@8,5;$1FE@7,6","$1F8@6,1",,,,
4,46,46,$04C660,,,,,"$300@7,5;$300@16,5",,"$300@7,5;$300@16,5;$066@7,6;$066@16,6;$062@6,7;$064@7,7;$063@8,7;$065@9,7;$062@15,7;$064@16,7;$063@17,7;$065@18,7;$05C@6,8;$05D@7,8;$05E@8,8;$05F@9,8;$05C@15,8;$05D@16,8;$05E@17,8;$05F@18,8",
4,47,47,$04C688,,,"$1FC@12,1;$1FE@8,6;$1FE@11,6",,,,,
4,48,48,$04D330,,,,,"$346@16,1;$346@13,3;$346@10,5;$346@7,7;$346@4,8","$1F2@2,9;$1F3@3,9;$1FA@4,9",,
4,49,49,$04D358,,"$200@11,6",,,,"$1F3@9,1;$1F3@10,1;$1F3@11,1;$1F2@1,3;$1F2@2,3","$069@4,1;$06B@2,2;$069@3,2;$06B@4,2;$069@5,2;$06B@3,3",
4,50,50,$04D380,"$1E6@3,0;$1E7@4,0",,,,,,,
4,51,51,$04D3A8,"$1E2@2,9;$1E3@17,9",,,,,,,
4,52,52,$04D3D0,,,,,"$329@4,1","$1FA@1,9",,
4,53,53,$04D3F8,"$1E4@0,1;$1E5@0,5",,,,,,,
4,54,54,$04D420,,"$200@11,5",,,"$30C@7,3;$300@16,5",,"$116@6,2;$117@7,2;$118@8,2;$119@9,2;$11A@6,3;$30C@7,3;$30D@8,3;$11D@9,3;$11E@6,4;$30E@7,4;$30F@8,4;$300@16,5;$066@16,6;$062@15,7;$064@16,7;$063@17,7;$065@18,7;$05C@15,8;$05D@16,8;$05E@17,8;$05F@18,8",
4,55,55,$04D448,"$1E2@12,9;$1E3@18,9",,,,"$300@7,4",,"$300@7,4;$066@7,5;$062@6,6;$064@7,6;$063@8,6;$065@9,6;$05C@6,7;$05D@7,7;$05E@8,7;$05F@9,7",
4,56,56,$04E0F0,,,,"$1F6@7,6;$1F6@6,8;$1F6@6,9",,,,
4,57,57,$04E118,,,,,"$30C@14,2;$300@9,6;$329@6,7",,"$116@13,1;$117@14,1;$118@15,1;$119@16,1;$11A@13,2;$30C@14,2;$30D@15,2;$11D@16,2;$11E@13,3;$30E@14,3;$30F@15,3;$300@9,6;$066@9,7;$062@8,8;$064@9,8;$063@10,8;$065@11,8;$05C@8,9;$05D@9,9;$05E@10,9;$05F@11,9",
4,58,58,$04E140,"$1E2@1,10;$1E3@10,10","$200@5,5",,,,,,
4,59,59,$04E168,"$1E4@0,1;$1E5@0,9",,,,,"$1F3@17,8;$1F2@18,8;$1F2@17,9;$1F3@18,9","$069@9,5;$06B@10,5;$069@11,5;$06B@12,5;$069@13,5;$06B@14,5;$069@8,6;$06B@9,6;$069@10,6;$06B@11,6;$069@12,6;$06B@13,6;$069@14,6;$06B@8,7;$069@9,7;$06B@10,7;$069@11,7;$06B@12,7;$069@13,7;$06B@14,7;$06B@13,8;$069@14,8;$06B@15,8;$069@16,8;$069@13,9;$06B@14,9;$069@15,9;$06B@16,9",
4,60,60,$04E190,,,,,"$30C@4,2;$30C@16,2;$300@2,6;$300@13,6",,"$116@3,1;$117@4,1;$118@5,1;$119@6,1;$116@15,1;$117@16,1;$118@17,1;$119@18,1;$11A@3,2;$30C@4,2;$30D@5,2;$11D@6,2;$11A@15,2;$30C@16,2;$30D@17,2;$11D@18,2;$11E@3,3;$30E@4,3;$30F@5,3;$11E@15,3;$30E@16,3;$30F@17,3;$300@2,6;$300@13,6;$066@2,7;$066@13,7;$062@1,8;$064@2,8;$063@3,8;$065@4,8;$062@12,8;$064@13,8;$063@14,8;$065@15,8;$05C@1,9;$05D@2,9;$05E@3,9;$05F@4,9;$05C@12,9;$05D@13,9;$05E@14,9;$05F@15,9",
4,61,61,$04E1B8,,,,,,,,
4,62,62,$04E1E0,,,"$1FD@2,3;$1FD@5,3;$1FD@9,3;$1FD@10,3;$1FD@11,3;$1FD@15,3;$1FD@16,3;$1FD@17,3;$1FD@16,5;$1FD@17,5;$1FD@18,5;$1FD@15,7;$1FD@16,7;$1FD@17,7;$1FD@18,7;$1FD@12,8;$1FD@13,8;$1FD@2,9;$1FD@3,9;$1FD@4,9;$1FD@5,9;$1FD@7,9;$1FD@8,9;$1FD@9,9;$1FD@10,9;$1FD@11,9",,,,"$0ED@2,2;$0ED@3,2;$0ED@4,2;$0ED@5,2;$0ED@7,2;$0ED@8,2;$0ED@9,2;$0ED@10,2;$0ED@11,2;$0ED@15,2;$0ED@16,2;$0ED@17,2;$0ED@3,3;$0ED@4,3;$0ED@7,3;$0ED@8,3;$0ED@12,3;$0ED@13,3;$0ED@18,3;$0ED@3,4;$0ED@4,4;$0ED@7,4;$0ED@8,4;$0ED@12,4;$0ED@13,4;$0ED@15,4;$0ED@16,4;$0ED@17,4;$0ED@18,4;$0ED@3,5;$0ED@4,5;$0ED@7,5;$0ED@8,5;$0ED@12,5;$0ED@13,5;$0ED@15,5;$0ED@3,6;$0ED@4,6;$0ED@7,6;$0ED@8,6;$0ED@12,6;$0ED@13,6;$0ED@15,6;$0ED@16,6;$0ED@17,6;$0ED@18,6;$0ED@3,7;$0ED@4,7;$0ED@7,7;$0ED@8,7;$0ED@12,7;$0ED@13,7;$0ED@2,8;$0ED@3,8;$0ED@4,8;$0ED@5,8;$0ED@7,8;$0ED@8,8;$0ED@9,8;$0ED@10,8;$0ED@11,8",
4,63,63,$04E208,,,,,"$30C@8,4",,"$116@7,3;$117@8,3;$118@9,3;$119@10,3;$11A@7,4;$30C@8,4;$30D@9,4;$11D@10,4;$11E@7,5;$30E@8,5;$30F@9,5",
4,64,64,$04EEB0,,,,,,"$1F2@12,3;$1FA@6,7",,
4,65,65,$04EED8,,,,,,,,yes
4,66,66,$04EF00,"$1E6@1,0;$1E7@4,0",,,,"$300@5,6;$300@9,6",,"$300@5,6;$300@9,6;$066@5,7;$066@9,7;$062@4,8;$064@5,8;$063@6,8;$065@7,8;$062@8,8;$064@9,8;$063@10,8;$065@11,8;$05C@4,9;$05D@5,9;$05E@6,9;$05F@7,9;$05C@8,9;$05D@9,9;$05E@10,9;$05F@11,9",
4,67,67,$04EF28,,,"$1FE@12,5;$1FE@12,7;$1FC@2,9;$1FC@6,9;$1FC@17,9",,,,,
4,68,68,$04EF50,,,,,,"$1F3@1,6;$1F2@1,7",,
4,69,69,$04EF78,,"$200@6,5;$2E2@15,5",,,,,,
4,70,70,$04EFA0,"$1E2@1,10;$1E3@14,10",,,,,,,
4,71,71,$04EFC8,,,,"$1F8@9,2","$30C@15,2;$300@14,6",,"$116@14,1;$117@15,1;$118@16,1;$119@17,1;$11A@14,2;$30C@15,2;$30D@16,2;$11D@17,2;$11E@14,3;$30E@15,3;$30F@16,3;$300@14,6;$066@14,7;$062@13,8;$064@14,8;$063@15,8;$065@16,8;$05C@13,9;$05D@14,9;$05E@15,9;$05F@16,9",
4,72,72,$04FC70,,,"$1FE@11,5;$1FE@12,5;$1FE@13,5;$1FE@14,5;$1FD@4,8;$1FD@5,8;$1FD@6,8;$1FD@7,8",,,,,
4,73,73,$04FC98,,,,"$1F8@1,1;$1F8@12,2;$1F8@3,3;$1F8@10,4",,,,
4,74,74,$04FCC0,,,,"$1F6@1,3;$1F6@1,7",,,,
4,75,75,$04FCE8,,,,"$1F6@2,3;$1F6@2,7",,,,
4,76,76,$04FD10,,,,,,"$1F3@4,3;$1FA@9,3;$1F3@11,3;$1F3@13,3",,
4,77,77,$04FD38,,,,,"$30C@7,2;$300@15,2",,"$116@6,1;$117@7,1;$118@8,1;$119@9,1;$11A@6,2;$30C@7,2;$30D@8,2;$11D@9,2;$300@15,2;$11E@6,3;$30E@7,3;$30F@8,3;$066@15,3;$062@14,4;$064@15,4;$063@16,4;$065@17,4;$05C@14,5;$05D@15,5;$05E@16,5;$05F@17,5",
4,78,78,$04FD60,,,,,"$30C@2,3;$30C@16,3;$300@3,6;$300@14,6",,"$116@1,2;$117@2,2;$118@3,2;$119@4,2;$116@15,2;$117@16,2;$118@17,2;$119@18,2;$11A@1,3;$30C@2,3;$30D@3,3;$11D@4,3;$11A@15,3;$30C@16,3;$30D@17,3;$11D@18,3;$11E@1,4;$30E@2,4;$30F@3,4;$11E@15,4;$30E@16,4;$30F@17,4;$300@3,6;$300@14,6;$066@3,7;$066@14,7;$062@2,8;$064@3,8;$063@4,8;$065@5,8;$062@13,8;$064@14,8;$063@15,8;$065@16,8;$05C@2,9;$05D@3,9;$05E@4,9;$05F@5,9;$05C@13,9;$05D@14,9;$05E@15,9;$05F@16,9",
4,79,79,$04FD88,,,,,,,,
